ID,Wikidata ID,Name,Wikidata Name,Beziehung Namen,von,bis,Jahre plausibel,typ
1931_54616,Q364024,Adolf Rosenthal,Adolf Rosenthal,identisch,1838-04-28,1866-09-23,nein,Mensch
1931_54617,Q364024,Adolf Rosenthal,Adolf Rosenthal,identisch,1838-04-28,1866-09-23,nein,Mensch
1931_54618,Q364024,Adolf Rosenthal,Adolf Rosenthal,identisch,1838-04-28,1866-09-23,nein,Mensch
1931_54619,Q364024,Adolf Rosenthal,Adolf Rosenthal,identisch,1838-04-28,1866-09-23,nein,Mensch
1931_54627,Q1385719,Alfred Rosenthal,Alfred Rosenthal,identisch,1888-04-24,-,nein,Mensch
1931_54628,Q1385719,Alfred Rosenthal,Alfred Rosenthal,identisch,1888-04-24,-,nein,Mensch
1931_54629,Q1385719,Alfred Rosenthal,Alfred Rosenthal,identisch,1888-04-24,-,nein,Mensch
1931_54630,Q1385719,Alfred Rosenthal,Alfred Rosenthal,identisch,1888-04-24,-,nein,Mensch
1931_54631,Q1385719,Alfred Rosenthal,Alfred Rosenthal,identisch,1888-04-24,-,nein,Mensch
1931_54632,Q1385719,Alfred Rosenthal,Alfred Rosenthal,identisch,1888-04-24,-,nein,Mensch
1931_54633,Q1385719,Alfred Rosenthal,Alfred Rosenthal,identisch,1888-04-24,-,nein,Mensch
1931_54634,Q1385719,Alfred Rosenthal,Alfred Rosenthal,identisch,1888-04-24,-,nein,Mensch
1931_54641,Q105005,Arthur Rosenthal,Arthur Rosenthal,identisch,-,-,unbekannt,Mensch
